sku,qty,ref,val,vendor
A-4543,2,C1 C2 ,220u,tayda
A-214,14,C4 C6 C9 C10 C11 C12 C13 C14 C15 C16 C17 C18 C20 C23 ,0.1u,tayda
A-543,2,C19 C21 ,1nf,tayda
A-321,1,C22 ,1uf,tayda
A-4022,2,C3 C7 ,0.33u,tayda
A-1063,2,C5 C8 ,100u,tayda
A-155,2,D1 D2 ,1n4007,tayda
610-1N4614TRPB,1,D3 ,zener_1.8v,mouser
A-1095,1,D4 ,bat46,tayda
A-3005,1,D5 ,LED,tayda
490-RCJ-024,4,J1 J6 J9 J10 ,rca,mouser
A-4118,1,J2 ,barrel_jack,tayda
A-2956,1,J3 ,europower,tayda
-,1,J7 ,diy_power_header
A-2563,3,J4 J5 J8 ,mono_jack_3.5mm,tayda
A-2180,1,R10 ,470k,tayda
A-2246,1,R11 ,220,tayda
A-2203,2,R14 R19 ,10k,tayda
A-2279,1,R15 ,47k,tayda
A-2192,1,R17 ,680k,tayda
A-2200,1,R18 ,1k,tayda
A-2207,1,R20 ,18k,tayda
A-2629,1,R21 ,75k,tayda
A-2284,1,R22 ,22k,tayda
A-2621,1,R3 ,510,tayda
A-2202,5,R2 R4 R5 R12 R13 ,1.5k,tayda
A-2245,1,R6 ,100,tayda
A-2313,1,R8 ,39k,tayda
A-2193,4,R1 R7 R9 R16 ,75,tayda
652-PTV09A-4025FB103,1,RV1 ,10k_pot,mouser
A-610,1,RV2 ,5k_trim,tayda
A-604,3,RV3 RV4 RV5 ,10k_trim,tayda
584-AD8072JNZ,1,U1 ,AD8072,mouser
A-179,1,U2 ,L7805,tayda
A-258,1,U3 ,L7905,tayda
584-LT1251CN#PBF,1,U4 ,LT1251,mouser
595-CD74HC4538E,2,U5 U6 ,74HC4538,mouser
926-LM1881MX/NOPB,1,U7 ,LM1881,mouser
A-1151,1,U8 ,CD4053B,tayda
